"id_name","ID_code","Kingdom","Phylum","Class","Order","Family","Genus","species"
"Reniera_fulva","REFU","Animalia","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Reniera_fulva"
"Sarcotragus_sp","SARC","Animalia","Porifera","Demospongiae","Dictyoceratida","Irciniidae","Sarcotragus","Sarcotragus_sp"
"Spirastrella_cunctatrix","SPCU","Animalia","Porifera","Demospongiae","Hadromerida","Spirastrellidae","Spirastrella","Spirastrella_cunctatrix"
"Spongia_lamella","SPLA","Animalia","Porifera","Demospongiae","Dictyoceratida","Spongiidae","Spongia","Spongia_lamella"
"Spongia_officinalis","SPOF","Animalia","Porifera","Demospongiae","Dictyoceratida","Spongiidae","Spongia","Spongia_officinalis"
"Suberites_sp","SUSP","Animalia","Porifera","Demospongiae","Hadromerida","Suberitidae","Suberites","Suberites_sp"
"Terpios_gelatinosa","TEGE","Animalia","Porifera","Demospongiae","Hadromerida","Suberitidae","Suberites","Suberites_affinis"
"Astroides_calycularis","ASCA","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Astroides","Astroides_calycularis"
"Balanophyllia_europaea","BAEU","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Balanophyllia","Balanophyllia_europaea"
"Caryophyllia_inornata","CAIN","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia_inornata"
"Caryophyllia_smithii","CASM","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia_smithii"
"Cladocora_caespitosa","CLPI","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Cladocora","Cladocora_caespitosa"
"Dendrophyllia_cornigera","DECO","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Dendrophyllia","Dendrophyllia_cornigera"
"Hoplangia_durotrix","HODU","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Hoplangia","Hoplangia_durotrix"
"Leptopsammia_pruvoti","LEPR","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Leptopsammia","Leptopsammia_pruvoti"
"Madracis_pharensis","MAPH","Animalia","Cnidaria","Anthozoa","Scleractinia","Pocilloporidae","Madracis","Madracis_pharensis"
"Polycyathus_muellerae","POMU","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Polycyathus","Polycyathus_muellerae"
"Filograna_or_Salmacina_sp","FISA","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Filograna","Filograna_or_Salmacina_sp"
"Sabella_spallanzanii","SASP","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella_spallanzanii"
"Epizoanthus_arenaceus","EPAR","Animalia","Cnidaria","Anthozoa","Zoanthidea","Epizoanthidae","Epizoanthus","Epizoanthus_arenaceus"
"Parazoanthus_axinellae","PAAX","Animalia","Cnidaria","Anthozoa","Zoanthidea","Parazoanthidae","Parazoanthus","Parazoanthus_axinellae"
"Savalia_savaglia","SASA","Animalia","Cnidaria","Anthozoa","Zoanthidea","Parazoanthidae","Savalia","Savalia_savaglia"
"Sphaerococcus_coronopifolius","SPCO","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Sphaerococcaceae","Sphaerococcus","Sphaerococcus_coronopifolius"
"Alcyonium_glomeratum","ALGL","Animalia","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Alcyonium","Alcyonium_glomeratum"
"Astropartus_mediterraneus","ASTM","Animalia","Echinodermata","Ophiuroidea","Euryalida","Gorgonocephalidae","Astrospartus","Astropartus_mediterraneus"
"Axinyssa_aurantiaca","AXAU","Animalia","Porifera","Demospongiae","Halichondrida","Halichondriidae","Axinyssa","Axinyssa_aurantiaca"
"Bonellia_viridis","BOVI","Animalia","Echiura","Echiuroidea","Bonelliida","Bonelliidae","Bonellia","Bonellia_viridis"
"Dictyota linearis = Dictyota dichotoma (DIDI)","DIIM","Chromista","Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota_implexa"
"Diplosoma_listerianum","DILI","Animalia","Chordata","Ascidiacea","Aplousobranchia","Didemnidae","Diplosoma","Diplosoma_listerianum"
"Dudresnaya_verticillata","DUVE","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Dumontiaceae","Dudresnaya","Dudresnaya_verticillata"
"Lithothamnion_corallioides","LICO","Plantae","Rhodophyta","Florideophyceae","Corallinales","Hapalidiaceae","Lithothamnion","Lithothamnion_corallioides"
"Maasella_edwardsii","MAED","Animalia","Cnidaria","Anthozoa","Alcyonacea","Paralcyoniidae","Maasella","Maasella_edwardsii"
"Mesophyllum_expansum","MEEX","Plantae","Rhodophyta","Florideophyceae","Corallinales","Hapalidiaceae","Mesophyllum","Mesophyllum_expansum"
"Osmundaria_volubilis","OSVO","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Osmundaria","Osmundaria_volubilis"
"Dictyota_linearis","REVI","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Adeonidae","Reptadeonella","Reptadeonella_violacea"
"Sagartia_elegans","SAEL","Animalia","Cnidaria","Anthozoa","Actinaria","Sagartiidae","Sagartia","Sagartia_elegans"
"Valonia_utricularis","VAUT","Plantae","Chlorophyta","Ulvophyceae","Siphonocladales","Valoniaceae","Valonia","Valonia_utricularis"
"Valonia_ventricosa","VAVE","Plantae","Chlorophyta","Ulvophyceae","Siphonocladales","Valoniaceae","Valonia","Valonia_ventricosa"
"Lithophyllum_sp","LISP","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Lithophyllum","Lithophyllum_sp"
"Mesophyllum_sp","MESP","Plantae","Rhodophyta","Florideophyceae","Corallinales","Hapalidiaceae","Mesophyllum","Mesophyllum_sp"
"Erected_Peyssonnelia_sp","PESP","Plantae","Rhodophyta","Florideophyceae","Peyssonneliales","Peyssonneliaceae","Peyssonnelia","Erected_Peyssonnelia_sp"
"Encrusting_Peyssonnelia_sp","PCSP","Plantae","Rhodophyta","Florideophyceae","Peyssonneliales","Peyssonneliaceae","Peyssonnelia","Encrusting_Peyssonnelia_sp"
